stats_entry_id,player_id,game_date,vs_team,outcome,min,fgm_fga,fg_per,threem_threea,three_per,ftm_fta,ft_per,rebounds,assists,blocks,steals,fouls,turnovers,points
2,1,Fri 11/8,@SIENA,"W 74-62
",33,2-9,.222,1-3,.333,7-8,.875,3,2,1,6,4,0,12
3,1,Tue 11/12,vsN.J.I.T.,"W 71-65
",31,8-14,.571,3-7,.429,1-2,.500,4,2,0,1,0,1,20
4,1,Sat 11/16,@QUINNIPIAC,"L 79-69
",28,1-7,.143,0-1,.000,0-0,.000,3,5,0,0,1,0,2
5,1,Wed 11/20,@DUQUESNE,"L 70-59
",24,3-9,.333,1-5,.200,1-3,.333,1,3,0,2,4,0,8
6,1,Sat 11/23,vsBUCKNELL,"L 77-64
",32,5-11,.455,2-4,.500,1-3,.333,3,3,0,0,5,1,13
7,1,Tue 11/26,@RIDER,"W 70-59
",35,2-6,.333,0-3,.000,6-6,1.0,1,3,0,1,2,6,10
8,1,Sun 12/1,@N.J.I.T.,"W 66-55
",34,5-11,.455,3-4,.750,4-6,.667,2,0,0,2,1,2,17
9,1,Wed 12/4,@HOLY CROSS,"L 62-57
",27,2-7,.286,0-1,.000,2-2,1.0,4,4,0,1,5,3,6
10,1,Tue 12/10,@BROWN,"W 74-68
",38,1-6,.167,0-3,.000,7-8,.875,5,2,0,1,4,4,9
11,1,Sat 12/14,vsCOLGATE,"L 69-60
",37,4-14,.286,1-5,.200,2-2,1.0,2,2,0,1,1,0,11
12,1,Fri 12/20,vsYALE,"W 70-62
",34,5-9,.556,1-3,.333,3-4,.750,9,3,0,3,3,2,14
13,1,Mon 12/23,@DRAKE,"L 71-63
",32,5-12,.417,2-5,.400,2-2,1.0,1,3,0,1,1,2,14
14,1,Tue 12/31,@PITTSBURGH,"L 58-46
",31,5-10,.500,4-6,.667,4-4,1.0,1,1,0,2,2,1,18
15,1,Sat 1/4,vsHARTFORD,"W 81-56
",34,6-8,.750,6-8,.750,2-2,1.0,4,2,0,0,2,2,20
16,1,Wed 1/8,vsUMBC,"W 73-72
(2OT)",38,2-9,.222,0-4,.000,1-2,.500,1,4,0,3,3,3,5
17,1,Sat 1/11,@VERMONT,"L 68-38
",27,1-7,.143,0-4,.000,0-0,.000,5,1,0,1,1,2,2
18,1,Wed 1/15,@UMASS LOWELL,"L 70-66
(OT)",45,4-9,.444,1-4,.250,4-6,.667,6,6,0,1,3,5,13
19,1,Sat 1/18,@MAINE,"W 85-78
",35,3-9,.333,1-1,1.0,2-4,.500,1,5,0,1,1,1,9
20,1,Mon 1/20,vsBINGHAMTON,"W 66-60
",27,2-7,.286,1-3,.333,3-4,.750,5,0,0,0,3,2,8
21,1,Thu 1/23,@NEW HAMPSHIRE,"L 60-56
",34,7-11,.636,1-3,.333,7-10,.700,4,1,0,0,1,1,22
22,1,Wed 1/29,vsSTONY BROOK,"W 77-67
",34,5-8,.625,1-3,.333,0-0,.000,4,4,0,3,1,1,11
23,1,Sat 2/1,vsVERMONT,"L 55-45
",28,2-10,.200,1-6,.167,0-0,.000,3,3,0,1,4,2,5
24,1,Wed 2/5,vsUMASS LOWELL,"W 73-56
",36,4-11,.364,1-5,.200,1-1,1.0,3,5,0,1,2,0,10
25,1,Sat 2/8,@HARTFORD,"L 67-54
",34,2-11,.182,0-4,.000,4-6,.667,1,0,0,2,1,1,8
26,1,Wed 2/12,@UMBC,"L 71-69
",35,0-5,.000,0-3,.000,2-2,1.0,4,4,0,1,2,3,2
27,1,Sat 2/15,vsMAINE,"W 74-63
",39,5-10,.500,2-4,.500,4-4,1.0,3,5,0,2,2,3,16
29,2,Fri 11/8,@SIENA,"W 74-62
",7,2-3,.667,0-0,.000,0-1,.000,2,1,1,0,3,0,4
30,2,Tue 11/12,vsN.J.I.T.,"W 71-65
",5,0-0,.000,0-0,.000,2-2,1.0,1,0,0,0,0,0,2
31,2,Sat 11/16,@QUINNIPIAC,"L 79-69
",4,0-1,.000,0-0,.000,0-0,.000,2,0,1,0,0,0,0
32,2,Wed 11/20,@DUQUESNE,"L 70-59
",3,0-0,.000,0-0,.000,0-0,.000,2,0,0,0,0,3,0
34,2,Tue 11/26,@RIDER,"W 70-59
",4,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,1,0,0
35,2,Sun 12/1,@N.J.I.T.,"W 66-55
",7,0-1,.000,0-0,.000,0-0,.000,2,0,1,0,0,0,0
36,2,Wed 12/4,@HOLY CROSS,"L 62-57
",8,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
37,2,Tue 12/10,@BROWN,"W 74-68
",17,2-3,.667,0-0,.000,4-4,1.0,7,0,1,2,4,1,8
38,2,Sat 12/14,vsCOLGATE,"L 69-60
",4,0-1,.000,0-0,.000,0-0,.000,1,0,0,0,0,0,0
39,2,Fri 12/20,vsYALE,"W 70-62
",2,1-1,1.0,0-0,.000,0-0,.000,1,0,0,0,0,0,2
40,2,Mon 12/23,@DRAKE,"L 71-63
",7,1-1,1.0,0-0,.000,0-0,.000,2,0,0,0,0,1,2
41,2,Tue 12/31,@PITTSBURGH,"L 58-46
",2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
43,2,Wed 1/8,vsUMBC,"W 73-72
(2OT)",11,0-1,.000,0-0,.000,0-0,.000,2,0,1,1,1,0,0
44,2,Sat 1/11,@VERMONT,"L 68-38
",20,1-4,.250,0-0,.000,1-3,.333,1,0,1,1,3,0,3
45,2,Wed 1/15,@UMASS LOWELL,"L 70-66
(OT)",9,0-0,.000,0-0,.000,1-2,.500,3,1,0,0,1,1,1
46,2,Sat 1/18,@MAINE,"W 85-78
",11,1-3,.333,0-0,.000,0-0,.000,1,1,1,0,1,0,2
47,2,Mon 1/20,vsBINGHAMTON,"W 66-60
",3,0-0,.000,0-0,.000,0-0,.000,0,1,0,0,0,1,0
48,2,Thu 1/23,@NEW HAMPSHIRE,"L 60-56
",8,0-3,.000,0-0,.000,0-0,.000,2,0,0,0,1,0,0
56,3,Fri 11/8,@SIENA,"W 74-62
",7,2-4,.500,1-3,.333,1-2,.500,0,0,0,0,0,0,6
57,3,Tue 11/12,vsN.J.I.T.,"W 71-65
",8,1-4,.250,1-4,.250,0-0,.000,1,0,0,0,2,1,3
59,3,Wed 11/20,@DUQUESNE,"L 70-59
",14,0-2,.000,0-2,.000,2-2,1.0,2,2,0,0,2,1,2
60,3,Sat 11/23,vsBUCKNELL,"L 77-64
",5,0-2,.000,0-2,.000,2-2,1.0,0,0,0,0,0,0,2
61,3,Tue 11/26,@RIDER,"W 70-59
",11,3-5,.600,2-4,.500,0-0,.000,1,0,0,0,1,1,8
62,3,Sun 12/1,@N.J.I.T.,"W 66-55
",6,1-2,.500,1-1,1.0,0-0,.000,1,1,0,0,1,0,3
63,3,Wed 12/4,@HOLY CROSS,"L 62-57
",18,1-4,.250,1-4,.250,0-0,.000,1,2,0,0,0,1,3
64,3,Tue 12/10,@BROWN,"W 74-68
",2,0-1,.000,0-0,.000,0-0,.000,0,0,0,0,1,0,0
65,3,Sat 12/14,vsCOLGATE,"L 69-60
",3,0-1,.000,0-0,.000,0-0,.000,1,0,0,0,2,1,0
66,3,Fri 12/20,vsYALE,"W 70-62
",3,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
67,3,Mon 12/23,@DRAKE,"L 71-63
",4,0-1,.000,0-1,.000,0-0,.000,0,0,0,0,0,0,0
68,3,Tue 12/31,@PITTSBURGH,"L 58-46
",2,0-2,.000,0-2,.000,0-0,.000,0,0,0,0,0,0,0
69,3,Sat 1/4,vsHARTFORD,"W 81-56
",4,2-3,.667,2-3,.667,0-0,.000,0,0,0,0,0,0,6
70,3,Wed 1/8,vsUMBC,"W 73-72
(2OT)",9,2-6,.333,1-4,.250,0-0,.000,0,0,0,0,0,1,5
71,3,Sat 1/11,@VERMONT,"L 68-38
",8,1-2,.500,1-1,1.0,2-2,1.0,1,0,0,0,0,1,5
72,3,Wed 1/15,@UMASS LOWELL,"L 70-66
(OT)",10,1-6,.167,1-5,.200,0-0,.000,2,0,0,0,0,0,3
74,3,Mon 1/20,vsBINGHAMTON,"W 66-60
",3,1-1,1.0,1-1,1.0,0-0,.000,0,0,0,0,2,0,3
83,4,Fri 11/8,@SIENA,"W 74-62
",12,0-2,.000,0-0,.000,2-2,1.0,1,1,0,1,1,0,2
84,4,Tue 11/12,vsN.J.I.T.,"W 71-65
",6,0-2,.000,0-0,.000,2-2,1.0,2,0,0,0,1,0,2
86,4,Wed 11/20,@DUQUESNE,"L 70-59
",6,0-0,.000,0-0,.000,2-2,1.0,1,0,0,0,1,0,2
87,4,Sat 11/23,vsBUCKNELL,"L 77-64
",17,1-4,.250,0-1,.000,0-0,.000,5,0,0,0,0,1,2
88,4,Tue 11/26,@RIDER,"W 70-59
",2,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,0,0,0
89,4,Sun 12/1,@N.J.I.T.,"W 66-55
",4,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,0,0,0
91,4,Tue 12/10,@BROWN,"W 74-68
",19,3-5,.600,1-1,1.0,0-2,.000,3,0,0,1,1,2,7
92,4,Sat 12/14,vsCOLGATE,"L 69-60
",9,0-2,.000,0-1,.000,0-0,.000,1,0,0,0,1,0,0
94,4,Mon 12/23,@DRAKE,"L 71-63
",15,1-2,.500,1-1,1.0,0-0,.000,4,0,0,0,2,1,3
95,4,Tue 12/31,@PITTSBURGH,"L 58-46
",15,0-3,.000,0-3,.000,0-0,.000,1,0,0,0,3,1,0
96,4,Sat 1/4,vsHARTFORD,"W 81-56
",6,0-0,.000,0-0,.000,0-0,.000,2,0,0,0,0,0,0
98,4,Sat 1/11,@VERMONT,"L 68-38
",19,0-1,.000,0-0,.000,0-0,.000,1,0,0,1,2,1,0
99,4,Wed 1/15,@UMASS LOWELL,"L 70-66
(OT)",4,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,0,1,0
100,4,Sat 1/18,@MAINE,"W 85-78
",23,4-6,.667,1-3,.333,1-2,.500,5,1,0,3,5,1,10
101,4,Mon 1/20,vsBINGHAMTON,"W 66-60
",16,0-1,.000,0-0,.000,1-5,.200,2,1,0,2,0,2,1
102,4,Thu 1/23,@NEW HAMPSHIRE,"L 60-56
",21,2-7,.286,0-1,.000,0-0,.000,6,0,0,0,2,1,4
103,4,Wed 1/29,vsSTONY BROOK,"W 77-67
",4,0-0,.000,0-0,.000,2-2,1.0,1,0,0,0,2,0,2
104,4,Sat 2/1,vsVERMONT,"L 55-45
",11,1-2,.500,0-1,.000,0-1,.000,0,1,0,0,1,1,2
105,4,Wed 2/5,vsUMASS LOWELL,"W 73-56
",5,0-2,.000,0-0,.000,2-2,1.0,0,0,0,0,2,0,2
106,4,Sat 2/8,@HARTFORD,"L 67-54
",10,0-1,.000,0-1,.000,0-0,.000,2,1,0,0,1,1,0
